iteration;RMSE;MAE;features
1;2.5086009042249167;2.0076980255031125; Franco_florin_buzios_28_09-2_envelope_area1_ -3 -2 -3, Franco_florin_buzios_28_09-2_envelope_area1_ 1 -3 2, Franco_florin_buzios_28_09-2_dip-angle_area1_ -1 -1 2, Franco_florin_buzios_28_09-2_dip-angle_area1_ -3 0 3, Franco_florin_buzios_28_09-2_curvedness_area1_ -2 3 -3, Franco_florin_buzios_28_09-2_mean-curvature_area1_ 2 -2 2, Franco_florin_buzios_28_09-2_contur-curvature_area1_ 0 -2 -2, Franco_florin_buzios_28_09-2_most-negative-curvature_area1_ 1 0 0, Franco_florin_buzios_28_09-2_rms-3_area1_ 3 2 1, Franco_florin_buzios_28_09-2_most-positive-curvature_area1_ 3 1 3
2;1.1708617538630794;0.9180334085530752; Franco_florin_buzios_28_09-2_envelope_area1_ -3 -2 -3, Franco_florin_buzios_28_09-2_envelope_area1_ 1 -3 2, Franco_florin_buzios_28_09-2_dip-angle_area1_ -3 0 3, Franco_florin_buzios_28_09-2_dip-angle_area1_ -1 -1 2, Franco_florin_buzios_28_09-2_curvedness_area1_ -2 3 -3, Franco_florin_buzios_28_09-2_mean-curvature_area1_ 2 -3 1, Franco_florin_buzios_28_09-2_most-positive-curvature_area1_ 3 1 3, Franco_florin_buzios_28_09-2_rms-3_area1_ 3 2 1, Franco_florin_buzios_28_09-2_contur-curvature_area1_ 0 -2 -2, Franco_florin_buzios_28_09-2_rms-5_area1_ -2 -2 1
3;0.521243824489996;0.3911521588238902; Franco_florin_buzios_28_09-2_envelope_area1_ -3 -2 -3, Franco_florin_buzios_28_09-2_envelope_area1_ 1 -3 2, Franco_florin_buzios_28_09-2_dip-angle_area1_ -1 -1 3, Franco_florin_buzios_28_09-2_curvedness_area1_ -2 3 -3, Franco_florin_buzios_28_09-2_dip-angle_area1_ -3 0 3, Franco_florin_buzios_28_09-2_rms-3_area1_ 3 2 1, Franco_florin_buzios_28_09-2_dip-angle_area1_ -1 -1 2, Franco_florin_buzios_28_09-2_most-positive-curvature_area1_ 3 1 3, Franco_florin_buzios_28_09-2_mean-curvature_area1_ 2 -3 1, Franco_florin_buzios_28_09-2_contur-curvature_area1_ 0 -2 -2
4;0.3227632654882521;0.22855093861857162; Franco_florin_buzios_28_09-2_envelope_area1_ -3 -2 -3, Franco_florin_buzios_28_09-2_envelope_area1_ 1 -3 2, Franco_florin_buzios_28_09-2_dip-angle_area1_ -3 0 3, Franco_florin_buzios_28_09-2_curvedness_area1_ -2 3 -3, Franco_florin_buzios_28_09-2_dip-angle_area1_ -1 -1 2, Franco_florin_buzios_28_09-2_rms-5_area1_ 3 2 1, Franco_florin_buzios_28_09-2_most-positive-curvature_area1_ 3 1 3, Franco_florin_buzios_28_09-2_mean-curvature_area1_ 2 -3 1, Franco_florin_buzios_28_09-2_contur-curvature_area1_ 0 -2 -2, Franco_florin_buzios_28_09-2_most-positive-curvature_area1_ 0 1 2
5;0.2060724181162369;0.14575126193903495; Franco_florin_buzios_28_09-2_envelope_area1_ -3 -2 -3, Franco_florin_buzios_28_09-2_envelope_area1_ 1 -3 2, Franco_florin_buzios_28_09-2_dip-angle_area1_ -3 0 3, Franco_florin_buzios_28_09-2_curvedness_area1_ -2 3 -3, Franco_florin_buzios_28_09-2_dip-angle_area1_ -1 -1 2, Franco_florin_buzios_28_09-2_rms-7_area1_ 3 2 1, Franco_florin_buzios_28_09-2_most-positive-curvature_area1_ 3 1 3, Franco_florin_buzios_28_09-2_mean-curvature_area1_ 2 -3 1, Franco_florin_buzios_28_09-2_contur-curvature_area1_ 0 -2 -2, Franco_florin_buzios_28_09-2_rms-5_area1_ 3 2 1
6;0.19504437083552964;0.12515537024454812; Franco_florin_buzios_28_09-2_envelope_area1_ -3 -2 -3, Franco_florin_buzios_28_09-2_envelope_area1_ 1 -3 2, Franco_florin_buzios_28_09-2_dip-angle_area1_ -3 0 3, Franco_florin_buzios_28_09-2_dip-angle_area1_ -1 -1 2, Franco_florin_buzios_28_09-2_curvedness_area1_ -2 3 -3, Franco_florin_buzios_28_09-2_rms-5_area1_ 3 2 1, Franco_florin_buzios_28_09-2_most-positive-curvature_area1_ 3 1 3, Franco_florin_buzios_28_09-2_mean-curvature_area1_ 2 -3 1, Franco_florin_buzios_28_09-2_contur-curvature_area1_ 0 -2 -2, Franco_florin_buzios_28_09-2_mean-curvature_area1_ 2 -3 0
7;0.1803537939390107;0.11017223807215118; Franco_florin_buzios_28_09-2_envelope_area1_ -3 -2 -3, Franco_florin_buzios_28_09-2_envelope_area1_ 1 -3 2, Franco_florin_buzios_28_09-2_dip-angle_area1_ -3 0 3, Franco_florin_buzios_28_09-2_curvedness_area1_ -2 3 -3, Franco_florin_buzios_28_09-2_dip-angle_area1_ -1 -1 2, Franco_florin_buzios_28_09-2_rms-5_area1_ 3 2 1, Franco_florin_buzios_28_09-2_most-positive-curvature_area1_ 3 1 3, Franco_florin_buzios_28_09-2_mean-curvature_area1_ 2 -3 1, Franco_florin_buzios_28_09-2_contur-curvature_area1_ 0 -2 -2, Franco_florin_buzios_28_09-2_instantaneous-frequency_area1_ 1 2 -3
8;0.15938334153466532;0.09149818735236781; Franco_florin_buzios_28_09-2_envelope_area1_ -3 -2 -3, Franco_florin_buzios_28_09-2_envelope_area1_ 1 -3 2, Franco_florin_buzios_28_09-2_dip-angle_area1_ -3 0 3, Franco_florin_buzios_28_09-2_curvedness_area1_ -2 3 -3, Franco_florin_buzios_28_09-2_dip-angle_area1_ -1 -1 2, Franco_florin_buzios_28_09-2_rms-5_area1_ 3 2 1, Franco_florin_buzios_28_09-2_most-positive-curvature_area1_ 3 1 3, Franco_florin_buzios_28_09-2_mean-curvature_area1_ 2 -3 1, Franco_florin_buzios_28_09-2_contur-curvature_area1_ 0 -2 -2, Franco_florin_buzios_28_09-2_most-negative-curvature_area1_ 3 2 1
9;0.14852288066433655;0.0815707391296303; Franco_florin_buzios_28_09-2_envelope_area1_ -3 -2 -3, Franco_florin_buzios_28_09-2_envelope_area1_ 1 -3 2, Franco_florin_buzios_28_09-2_dip-angle_area1_ -3 0 3, Franco_florin_buzios_28_09-2_curvedness_area1_ -2 3 -3, Franco_florin_buzios_28_09-2_dip-angle_area1_ -1 -1 2, Franco_florin_buzios_28_09-2_rms-5_area1_ 3 2 1, Franco_florin_buzios_28_09-2_most-positive-curvature_area1_ 3 1 3, Franco_florin_buzios_28_09-2_mean-curvature_area1_ 2 -3 1, Franco_florin_buzios_28_09-2_contur-curvature_area1_ 0 -2 -2, Franco_florin_buzios_28_09-2_most-negative-curvature_area1_ -1 0 -3
10;0.15244635518334773;0.07469548534017566; Franco_florin_buzios_28_09-2_envelope_area1_ -3 -2 -3, Franco_florin_buzios_28_09-2_envelope_area1_ 1 -3 2, Franco_florin_buzios_28_09-2_dip-angle_area1_ -3 0 3, Franco_florin_buzios_28_09-2_curvedness_area1_ -2 3 -3, Franco_florin_buzios_28_09-2_dip-angle_area1_ -1 -1 2, Franco_florin_buzios_28_09-2_rms-3_area1_ 3 2 1, Franco_florin_buzios_28_09-2_most-positive-curvature_area1_ 3 1 3, Franco_florin_buzios_28_09-2_mean-curvature_area1_ 2 -3 1, Franco_florin_buzios_28_09-2_contur-curvature_area1_ 0 -2 -2, Franco_florin_buzios_28_09-2_rms-5_area1_ 3 2 1
11;0.2576960598004053;0.1257897785730475; Franco_florin_buzios_28_09-2_envelope_area1_ -3 -2 -3, Franco_florin_buzios_28_09-2_envelope_area1_ 1 -3 2, Franco_florin_buzios_28_09-2_dip-angle_area1_ -3 0 3, Franco_florin_buzios_28_09-2_curvedness_area1_ -2 3 -3, Franco_florin_buzios_28_09-2_dip-angle_area1_ -1 -1 2, Franco_florin_buzios_28_09-2_rms-5_area1_ 3 2 1, Franco_florin_buzios_28_09-2_most-positive-curvature_area1_ 3 1 3, Franco_florin_buzios_28_09-2_mean-curvature_area1_ 2 -3 1, Franco_florin_buzios_28_09-2_dip-curvature_area1_ 0 -2 -2, Franco_florin_buzios_28_09-2_envelope_area1_ 1 -3 -2
12;0.5844244116804567;0.3983282805612198; Franco_florin_buzios_28_09-2_envelope_area1_ -3 -2 -3, Franco_florin_buzios_28_09-2_envelope_area1_ 1 -3 2, Franco_florin_buzios_28_09-2_dip-angle_area1_ -3 0 3, Franco_florin_buzios_28_09-2_dip-angle_area1_ -1 -1 2, Franco_florin_buzios_28_09-2_curvedness_area1_ -2 3 -3, Franco_florin_buzios_28_09-2_envelope_area1_ 1 -3 -2, Franco_florin_buzios_28_09-2_most-positive-curvature_area1_ 3 1 3, Franco_florin_buzios_28_09-2_contur-curvature_area1_ 0 -2 -2, Franco_florin_buzios_28_09-2_rms-3_area1_ 2 2 1, Franco_florin_buzios_28_09-2_rms-7_area1_ 3 2 1
