iteration;RMSE;MAE;features
1;2.5086009042249167;2.0076980255031125; Franco_florin_buzios_28_09-2_envelope_area1_ -3 -2 -3, Franco_florin_buzios_28_09-2_envelope_area1_ 1 -3 2, Franco_florin_buzios_28_09-2_dip-angle_area1_ -1 -1 2, Franco_florin_buzios_28_09-2_dip-angle_area1_ -3 0 3, Franco_florin_buzios_28_09-2_curvedness_area1_ -2 3 -3, Franco_florin_buzios_28_09-2_mean-curvature_area1_ 2 -2 2, Franco_florin_buzios_28_09-2_contur-curvature_area1_ 0 -2 -2, Franco_florin_buzios_28_09-2_most-negative-curvature_area1_ 1 0 0, Franco_florin_buzios_28_09-2_rms-3_area1_ 3 2 1, Franco_florin_buzios_28_09-2_most-positive-curvature_area1_ 3 1 3
2;1.326508485841823;1.0127474395423042; Franco_florin_buzios_28_09-2_envelope_area1_ -3 -2 -3, Franco_florin_buzios_28_09-2_envelope_area1_ 1 -3 2, Franco_florin_buzios_28_09-2_dip-angle_area1_ -3 0 3, Franco_florin_buzios_28_09-2_dip-angle_area1_ -1 -1 2, Franco_florin_buzios_28_09-2_curvedness_area1_ -2 3 -3, Franco_florin_buzios_28_09-2_most-positive-curvature_area1_ 3 1 3, Franco_florin_buzios_28_09-2_rms-3_area1_ 3 2 1, Franco_florin_buzios_28_09-2_dip-curvature_area1_ 2 -1 2, Franco_florin_buzios_28_09-2_contur-curvature_area1_ 0 -2 -2, Franco_florin_buzios_28_09-2_contur-curvature_area1_ 0 -1 -2
3;0.8026722824612545;0.5615369967682416; Franco_florin_buzios_28_09-2_envelope_area1_ -3 -2 -3, Franco_florin_buzios_28_09-2_envelope_area1_ 1 -3 2, Franco_florin_buzios_28_09-2_dip-angle_area1_ -3 0 3, Franco_florin_buzios_28_09-2_dip-angle_area1_ -1 -1 2, Franco_florin_buzios_28_09-2_curvedness_area1_ -2 3 -3, Franco_florin_buzios_28_09-2_rms-3_area1_ 3 2 1, Franco_florin_buzios_28_09-2_most-positive-curvature_area1_ 3 1 3, Franco_florin_buzios_28_09-2_contur-curvature_area1_ 0 -2 -2, Franco_florin_buzios_28_09-2_dip-curvature_area1_ 2 -1 2, Franco_florin_buzios_28_09-2_max-curvature_area1_ 1 0 0
4;0.5934328250415655;0.3827890014374842; Franco_florin_buzios_28_09-2_envelope_area1_ -3 -2 -3, Franco_florin_buzios_28_09-2_envelope_area1_ 1 -3 2, Franco_florin_buzios_28_09-2_dip-angle_area1_ -1 -1 2, Franco_florin_buzios_28_09-2_dip-angle_area1_ -3 0 3, Franco_florin_buzios_28_09-2_curvedness_area1_ -2 3 -3, Franco_florin_buzios_28_09-2_rms-3_area1_ 3 2 1, Franco_florin_buzios_28_09-2_most-positive-curvature_area1_ 3 1 3, Franco_florin_buzios_28_09-2_contur-curvature_area1_ 0 -2 -2, Franco_florin_buzios_28_09-2_dip-curvature_area1_ 2 -1 2, Franco_florin_buzios_28_09-2_dip-curvature_area1_ 3 0 0
5;0.4844119463175673;0.2937669142523345; Franco_florin_buzios_28_09-2_envelope_area1_ -3 -2 -3, Franco_florin_buzios_28_09-2_envelope_area1_ 1 -3 2, Franco_florin_buzios_28_09-2_dip-angle_area1_ -1 -1 2, Franco_florin_buzios_28_09-2_dip-angle_area1_ -3 0 3, Franco_florin_buzios_28_09-2_curvedness_area1_ -2 3 -3, Franco_florin_buzios_28_09-2_rms-3_area1_ 3 2 1, Franco_florin_buzios_28_09-2_most-positive-curvature_area1_ 3 1 3, Franco_florin_buzios_28_09-2_contur-curvature_area1_ 0 -2 -2, Franco_florin_buzios_28_09-2_dip-curvature_area1_ 2 -1 2, Franco_florin_buzios_28_09-2_mean-curvature_area1_ 3 3 2
6;0.7162317459016556;0.4692584346837236; Franco_florin_buzios_28_09-2_envelope_area1_ -3 -2 -3, Franco_florin_buzios_28_09-2_envelope_area1_ 1 -3 2, Franco_florin_buzios_28_09-2_dip-angle_area1_ -1 -1 2, Franco_florin_buzios_28_09-2_dip-angle_area1_ -3 0 3, Franco_florin_buzios_28_09-2_curvedness_area1_ -2 3 -3, Franco_florin_buzios_28_09-2_rms-3_area1_ 3 2 1, Franco_florin_buzios_28_09-2_most-positive-curvature_area1_ 3 1 3, Franco_florin_buzios_28_09-2_contur-curvature_area1_ 0 -2 -2, Franco_florin_buzios_28_09-2_dip-curvature_area1_ 2 -1 2, Franco_florin_buzios_28_09-2_azimuth_area1_ 0 1 2
7;0.8620790810514284;0.5757622922941446; Franco_florin_buzios_28_09-2_envelope_area1_ -3 -2 -3, Franco_florin_buzios_28_09-2_envelope_area1_ 1 -3 2, Franco_florin_buzios_28_09-2_dip-angle_area1_ -1 -1 2, Franco_florin_buzios_28_09-2_dip-angle_area1_ -3 0 3, Franco_florin_buzios_28_09-2_curvedness_area1_ -2 3 -3, Franco_florin_buzios_28_09-2_rms-3_area1_ 3 2 1, Franco_florin_buzios_28_09-2_most-positive-curvature_area1_ 3 1 3, Franco_florin_buzios_28_09-2_dip-curvature_area1_ 2 -1 2, Franco_florin_buzios_28_09-2_dip-curvature_area1_ 0 -2 -2, Franco_florin_buzios_28_09-2_curvedness_area1_ 2 -2 2
8;1.035845905328387;0.7076485976517957; Franco_florin_buzios_28_09-2_envelope_area1_ -3 -2 -3, Franco_florin_buzios_28_09-2_envelope_area1_ 1 -3 2, Franco_florin_buzios_28_09-2_dip-angle_area1_ -3 0 3, Franco_florin_buzios_28_09-2_curvedness_area1_ -2 3 -3, Franco_florin_buzios_28_09-2_dip-angle_area1_ -1 -1 2, Franco_florin_buzios_28_09-2_rms-3_area1_ 3 2 1, Franco_florin_buzios_28_09-2_most-positive-curvature_area1_ 3 1 3, Franco_florin_buzios_28_09-2_dip-curvature_area1_ 2 -1 2, Franco_florin_buzios_28_09-2_contur-curvature_area1_ 0 -2 -2, Franco_florin_buzios_28_09-2_instantaneous-frequency_area1_ 3 2 -2
9;1.1903986871687928;0.8413335270707096; Franco_florin_buzios_28_09-2_envelope_area1_ -3 -2 -3, Franco_florin_buzios_28_09-2_envelope_area1_ 1 -3 2, Franco_florin_buzios_28_09-2_dip-angle_area1_ -3 0 3, Franco_florin_buzios_28_09-2_curvedness_area1_ -2 3 -3, Franco_florin_buzios_28_09-2_dip-angle_area1_ -1 -1 2, Franco_florin_buzios_28_09-2_rms-5_area1_ 3 2 1, Franco_florin_buzios_28_09-2_max-curvature_area1_ 3 1 3, Franco_florin_buzios_28_09-2_rms-9_area1_ -2 -1 1, Franco_florin_buzios_28_09-2_instantaneous-frequency_area1_ 3 2 2, Franco_florin_buzios_28_09-2_dip-curvature_area1_ 1 1 3
10;1.2861679020319896;0.935609804195272; Franco_florin_buzios_28_09-2_envelope_area1_ -3 -2 -3, Franco_florin_buzios_28_09-2_envelope_area1_ 1 -3 2, Franco_florin_buzios_28_09-2_dip-angle_area1_ -1 -1 2, Franco_florin_buzios_28_09-2_curvedness_area1_ -2 3 -3, Franco_florin_buzios_28_09-2_dip-angle_area1_ -3 0 3, Franco_florin_buzios_28_09-2_rms-5_area1_ 3 2 1, Franco_florin_buzios_28_09-2_max-curvature_area1_ 3 1 3, Franco_florin_buzios_28_09-2_contur-curvature_area1_ 0 -2 -2, Franco_florin_buzios_28_09-2_azimuth_area1_ 1 -1 1, Franco_florin_buzios_28_09-2_rms-9_area1_ 2 2 0
