iteration;RMSE;MAE;features
1;2.8443471150795805;2.338528532586198; Franco_florin_buzios_28_09-2_envelope_area1_ 2 -3 0, Franco_florin_buzios_28_09-2_azimuth_area1_ -1 -3 -2, Franco_florin_buzios_28_09-2_rms-3_area1_ 2 1 2, Franco_florin_buzios_28_09-2_rms-9_area1_ -1 3 3, Franco_florin_buzios_28_09-2_max-curvature_area1_ 2 -3 3, Franco_florin_buzios_28_09-2_instantaneous-frequency_area1_ 3 -3 3, Franco_florin_buzios_28_09-2_rms-3_area1_ 2 1 3, Franco_florin_buzios_28_09-2_curvedness_area1_ 1 -2 3, Franco_florin_buzios_28_09-2_shape-index_area1_ -2 -3 -2, Franco_florin_buzios_28_09-2_mean-curvature_area1_ 0 -3 1
2;1.3411654626485843;0.9754233185944392; Franco_florin_buzios_28_09-2_envelope_area1_ 2 -3 0, Franco_florin_buzios_28_09-2_azimuth_area1_ -1 -3 -2, Franco_florin_buzios_28_09-2_most-positive-curvature_area1_ 2 -3 3, Franco_florin_buzios_28_09-2_rms-9_area1_ -1 3 2, Franco_florin_buzios_28_09-2_shape-index_area1_ -2 -3 -2, Franco_florin_buzios_28_09-2_mean-curvature_area1_ 0 -3 1, Franco_florin_buzios_28_09-2_rms-3_area1_ 2 1 2, Franco_florin_buzios_28_09-2_instantaneous-frequency_area1_ 3 -3 3, Franco_florin_buzios_28_09-2_curvedness_area1_ 1 -2 3, Franco_florin_buzios_28_09-2_rms-9_area1_ -1 3 3
3;0.7488977079634926;0.50811313689983; Franco_florin_buzios_28_09-2_envelope_area1_ 2 -3 0, Franco_florin_buzios_28_09-2_azimuth_area1_ -1 -3 -2, Franco_florin_buzios_28_09-2_most-positive-curvature_area1_ 2 -3 3, Franco_florin_buzios_28_09-2_rms-9_area1_ -1 3 3, Franco_florin_buzios_28_09-2_shape-index_area1_ -2 -3 -2, Franco_florin_buzios_28_09-2_rms-3_area1_ 2 1 2, Franco_florin_buzios_28_09-2_mean-curvature_area1_ 0 -3 1, Franco_florin_buzios_28_09-2_curvedness_area1_ 1 -2 3, Franco_florin_buzios_28_09-2_instantaneous-frequency_area1_ 3 -3 3, Franco_florin_buzios_28_09-2_dip-angle_area1_ -1 0 2
4;0.5695153068976453;0.3624753502547543; Franco_florin_buzios_28_09-2_envelope_area1_ 2 -3 0, Franco_florin_buzios_28_09-2_azimuth_area1_ -1 -3 -2, Franco_florin_buzios_28_09-2_most-positive-curvature_area1_ 2 -3 3, Franco_florin_buzios_28_09-2_shape-index_area1_ -2 -3 -2, Franco_florin_buzios_28_09-2_rms-9_area1_ -1 3 3, Franco_florin_buzios_28_09-2_rms-3_area1_ 2 1 2, Franco_florin_buzios_28_09-2_mean-curvature_area1_ 0 -3 1, Franco_florin_buzios_28_09-2_curvedness_area1_ 1 -2 3, Franco_florin_buzios_28_09-2_instantaneous-frequency_area1_ 3 -3 3, Franco_florin_buzios_28_09-2_rms-3_area1_ -1 3 3
5;0.4737305198483541;0.29337795037186787; Franco_florin_buzios_28_09-2_envelope_area1_ 2 -3 0, Franco_florin_buzios_28_09-2_azimuth_area1_ -1 -3 -2, Franco_florin_buzios_28_09-2_most-positive-curvature_area1_ 2 -3 3, Franco_florin_buzios_28_09-2_shape-index_area1_ -2 -3 -2, Franco_florin_buzios_28_09-2_rms-9_area1_ -1 3 3, Franco_florin_buzios_28_09-2_mean-curvature_area1_ 0 -3 1, Franco_florin_buzios_28_09-2_rms-3_area1_ 2 1 2, Franco_florin_buzios_28_09-2_curvedness_area1_ 1 -2 3, Franco_florin_buzios_28_09-2_instantaneous-frequency_area1_ 3 -3 3, Franco_florin_buzios_28_09-2_most-negative-curvature_area1_ -2 -3 -3
6;0.7964253789546041;0.5462229428193092; Franco_florin_buzios_28_09-2_envelope_area1_ 2 -3 0, Franco_florin_buzios_28_09-2_azimuth_area1_ -1 -3 -2, Franco_florin_buzios_28_09-2_most-positive-curvature_area1_ 2 -3 3, Franco_florin_buzios_28_09-2_shape-index_area1_ -2 -3 -2, Franco_florin_buzios_28_09-2_rms-9_area1_ -1 3 3, Franco_florin_buzios_28_09-2_mean-curvature_area1_ 0 -3 1, Franco_florin_buzios_28_09-2_rms-3_area1_ 2 1 2, Franco_florin_buzios_28_09-2_curvedness_area1_ 1 -2 3, Franco_florin_buzios_28_09-2_instantaneous-frequency_area1_ 3 -3 3, Franco_florin_buzios_28_09-2_dip-angle_area1_ 2 3 -3
7;0.8702978071076739;0.6245727275895365; Franco_florin_buzios_28_09-2_envelope_area1_ 2 -3 0, Franco_florin_buzios_28_09-2_azimuth_area1_ -1 -3 -2, Franco_florin_buzios_28_09-2_most-positive-curvature_area1_ 2 -3 3, Franco_florin_buzios_28_09-2_shape-index_area1_ -2 -3 -2, Franco_florin_buzios_28_09-2_mean-curvature_area1_ 0 -3 1, Franco_florin_buzios_28_09-2_rms-9_area1_ -1 3 3, Franco_florin_buzios_28_09-2_rms-3_area1_ 2 1 2, Franco_florin_buzios_28_09-2_curvedness_area1_ 1 -2 3, Franco_florin_buzios_28_09-2_instantaneous-frequency_area1_ 3 -3 3, Franco_florin_buzios_28_09-2_instantaneous-frequency_area1_ 1 3 3
8;1.0257603509665638;0.7571453096522724; Franco_florin_buzios_28_09-2_envelope_area1_ 2 -3 0, Franco_florin_buzios_28_09-2_azimuth_area1_ -1 -3 -2, Franco_florin_buzios_28_09-2_most-positive-curvature_area1_ 2 -3 3, Franco_florin_buzios_28_09-2_mean-curvature_area1_ 0 -3 1, Franco_florin_buzios_28_09-2_shape-index_area1_ -2 -3 -2, Franco_florin_buzios_28_09-2_rms-9_area1_ -1 3 3, Franco_florin_buzios_28_09-2_rms-3_area1_ 2 1 2, Franco_florin_buzios_28_09-2_curvedness_area1_ 1 -2 3, Franco_florin_buzios_28_09-2_instantaneous-frequency_area1_ 3 -3 3, Franco_florin_buzios_28_09-2_envelope_area1_ 3 -1 0
9;1.1147827298371682;0.8285583807977819; Franco_florin_buzios_28_09-2_envelope_area1_ 2 -3 0, Franco_florin_buzios_28_09-2_most-positive-curvature_area1_ 2 -3 3, Franco_florin_buzios_28_09-2_azimuth_area1_ -1 -3 -2, Franco_florin_buzios_28_09-2_mean-curvature_area1_ 0 -3 1, Franco_florin_buzios_28_09-2_rms-9_area1_ -1 3 3, Franco_florin_buzios_28_09-2_rms-3_area1_ 2 1 2, Franco_florin_buzios_28_09-2_shape-index_area1_ -2 -3 -2, Franco_florin_buzios_28_09-2_curvedness_area1_ 1 -2 3, Franco_florin_buzios_28_09-2_envelope_area1_ -3 -2 2, Franco_florin_buzios_28_09-2_instantaneous-frequency_area1_ 3 -3 3
10;1.1818527951498095;0.8899081807956705; Franco_florin_buzios_28_09-2_envelope_area1_ 2 -3 0, Franco_florin_buzios_28_09-2_most-positive-curvature_area1_ 2 -3 3, Franco_florin_buzios_28_09-2_azimuth_area1_ -1 -3 -2, Franco_florin_buzios_28_09-2_mean-curvature_area1_ 0 -3 1, Franco_florin_buzios_28_09-2_rms-3_area1_ 2 1 2, Franco_florin_buzios_28_09-2_rms-7_area1_ -1 3 3, Franco_florin_buzios_28_09-2_shape-index_area1_ -2 -3 -2, Franco_florin_buzios_28_09-2_curvedness_area1_ 1 -2 3, Franco_florin_buzios_28_09-2_most-negative-curvature_area1_ 0 1 3, Franco_florin_buzios_28_09-2_envelope_area1_ 3 0 -2
11;1.1317006369047697;0.8631639524979773; Franco_florin_buzios_28_09-2_envelope_area1_ 2 -3 0, Franco_florin_buzios_28_09-2_mean-curvature_area1_ 0 -3 1, Franco_florin_buzios_28_09-2_rms-3_area1_ 2 1 2, Franco_florin_buzios_28_09-2_rms-9_area1_ -1 3 3, Franco_florin_buzios_28_09-2_most-positive-curvature_area1_ 2 -3 3, Franco_florin_buzios_28_09-2_azimuth_area1_ -1 -3 -2, Franco_florin_buzios_28_09-2_shape-index_area1_ -2 -3 -2, Franco_florin_buzios_28_09-2_rms-9_area1_ 3 0 -3, Franco_florin_buzios_28_09-2_shape-index_area1_ 0 1 3, Franco_florin_buzios_28_09-2_dip-angle_area1_ -3 0 -2
12;1.0860602832412625;0.8394063524364329; Franco_florin_buzios_28_09-2_envelope_area1_ 2 -3 0, Franco_florin_buzios_28_09-2_rms-5_area1_ 2 1 2, Franco_florin_buzios_28_09-2_mean-curvature_area1_ 0 -3 1, Franco_florin_buzios_28_09-2_rms-7_area1_ -1 3 3, Franco_florin_buzios_28_09-2_azimuth_area1_ -1 -3 -2, Franco_florin_buzios_28_09-2_most-positive-curvature_area1_ 2 -3 3, Franco_florin_buzios_28_09-2_shape-index_area1_ -2 -3 -2, Franco_florin_buzios_28_09-2_mean-curvature_area1_ 1 -2 2, Franco_florin_buzios_28_09-2_rms-9_area1_ 3 -1 -2, Franco_florin_buzios_28_09-2_dip-angle_area1_ -3 1 -2
13;1.0084013357975383;0.769439257901909; Franco_florin_buzios_28_09-2_envelope_area1_ 2 -3 0, Franco_florin_buzios_28_09-2_rms-9_area1_ 2 1 2, Franco_florin_buzios_28_09-2_rms-5_area1_ -1 3 3, Franco_florin_buzios_28_09-2_mean-curvature_area1_ 0 -3 1, Franco_florin_buzios_28_09-2_azimuth_area1_ -1 -3 -2, Franco_florin_buzios_28_09-2_rms-3_area1_ 2 -2 -2, Franco_florin_buzios_28_09-2_most-positive-curvature_area1_ 2 -3 3, Franco_florin_buzios_28_09-2_shape-index_area1_ -2 -3 -2, Franco_florin_buzios_28_09-2_dip-angle_area1_ -1 -1 -3, Franco_florin_buzios_28_09-2_rms-3_area1_ -3 0 1
