iteration;RMSE;MAE;features
1;2.5086009042249167;2.0076980255031125; Franco_florin_buzios_28_09-2_envelope_area1_ -3 -2 -3, Franco_florin_buzios_28_09-2_envelope_area1_ 1 -3 2, Franco_florin_buzios_28_09-2_dip-angle_area1_ -1 -1 2, Franco_florin_buzios_28_09-2_dip-angle_area1_ -3 0 3, Franco_florin_buzios_28_09-2_curvedness_area1_ -2 3 -3, Franco_florin_buzios_28_09-2_mean-curvature_area1_ 2 -2 2, Franco_florin_buzios_28_09-2_contur-curvature_area1_ 0 -2 -2, Franco_florin_buzios_28_09-2_most-negative-curvature_area1_ 1 0 0, Franco_florin_buzios_28_09-2_rms-3_area1_ 3 2 1, Franco_florin_buzios_28_09-2_most-positive-curvature_area1_ 3 1 3
2;1.326508485841823;1.0127474395423042; Franco_florin_buzios_28_09-2_envelope_area1_ -3 -2 -3, Franco_florin_buzios_28_09-2_envelope_area1_ 1 -3 2, Franco_florin_buzios_28_09-2_dip-angle_area1_ -3 0 3, Franco_florin_buzios_28_09-2_dip-angle_area1_ -1 -1 2, Franco_florin_buzios_28_09-2_curvedness_area1_ -2 3 -3, Franco_florin_buzios_28_09-2_most-positive-curvature_area1_ 3 1 3, Franco_florin_buzios_28_09-2_rms-3_area1_ 3 2 1, Franco_florin_buzios_28_09-2_dip-curvature_area1_ 2 -1 2, Franco_florin_buzios_28_09-2_contur-curvature_area1_ 0 -2 -2, Franco_florin_buzios_28_09-2_contur-curvature_area1_ 0 -1 -2
3;0.8026722824612545;0.5615369967682416; Franco_florin_buzios_28_09-2_envelope_area1_ -3 -2 -3, Franco_florin_buzios_28_09-2_envelope_area1_ 1 -3 2, Franco_florin_buzios_28_09-2_dip-angle_area1_ -3 0 3, Franco_florin_buzios_28_09-2_dip-angle_area1_ -1 -1 2, Franco_florin_buzios_28_09-2_curvedness_area1_ -2 3 -3, Franco_florin_buzios_28_09-2_rms-3_area1_ 3 2 1, Franco_florin_buzios_28_09-2_most-positive-curvature_area1_ 3 1 3, Franco_florin_buzios_28_09-2_contur-curvature_area1_ 0 -2 -2, Franco_florin_buzios_28_09-2_dip-curvature_area1_ 2 -1 2, Franco_florin_buzios_28_09-2_max-curvature_area1_ 1 0 0
4;0.5934328250415655;0.3827890014374842; Franco_florin_buzios_28_09-2_envelope_area1_ -3 -2 -3, Franco_florin_buzios_28_09-2_envelope_area1_ 1 -3 2, Franco_florin_buzios_28_09-2_dip-angle_area1_ -1 -1 2, Franco_florin_buzios_28_09-2_dip-angle_area1_ -3 0 3, Franco_florin_buzios_28_09-2_curvedness_area1_ -2 3 -3, Franco_florin_buzios_28_09-2_rms-3_area1_ 3 2 1, Franco_florin_buzios_28_09-2_most-positive-curvature_area1_ 3 1 3, Franco_florin_buzios_28_09-2_contur-curvature_area1_ 0 -2 -2, Franco_florin_buzios_28_09-2_dip-curvature_area1_ 2 -1 2, Franco_florin_buzios_28_09-2_dip-curvature_area1_ 3 0 0
5;0.4844119463175673;0.2937669142523345; Franco_florin_buzios_28_09-2_envelope_area1_ -3 -2 -3, Franco_florin_buzios_28_09-2_envelope_area1_ 1 -3 2, Franco_florin_buzios_28_09-2_dip-angle_area1_ -1 -1 2, Franco_florin_buzios_28_09-2_dip-angle_area1_ -3 0 3, Franco_florin_buzios_28_09-2_curvedness_area1_ -2 3 -3, Franco_florin_buzios_28_09-2_rms-3_area1_ 3 2 1, Franco_florin_buzios_28_09-2_most-positive-curvature_area1_ 3 1 3, Franco_florin_buzios_28_09-2_contur-curvature_area1_ 0 -2 -2, Franco_florin_buzios_28_09-2_dip-curvature_area1_ 2 -1 2, Franco_florin_buzios_28_09-2_mean-curvature_area1_ 3 3 2
6;0.7650003875681824;0.5274376047177917; Franco_florin_buzios_28_09-2_envelope_area1_ -3 -2 -3, Franco_florin_buzios_28_09-2_envelope_area1_ 1 -3 2, Franco_florin_buzios_28_09-2_dip-angle_area1_ -3 0 3, Franco_florin_buzios_28_09-2_dip-angle_area1_ -1 -1 2, Franco_florin_buzios_28_09-2_curvedness_area1_ -2 3 -3, Franco_florin_buzios_28_09-2_rms-3_area1_ 3 2 1, Franco_florin_buzios_28_09-2_most-positive-curvature_area1_ 3 1 3, Franco_florin_buzios_28_09-2_contur-curvature_area1_ 0 -2 -2, Franco_florin_buzios_28_09-2_dip-curvature_area1_ 2 -1 2, Franco_florin_buzios_28_09-2_shape-index_area1_ 0 0 3
7;0.9342257501235305;0.6599640608388773; Franco_florin_buzios_28_09-2_envelope_area1_ -3 -2 -3, Franco_florin_buzios_28_09-2_envelope_area1_ 1 -3 2, Franco_florin_buzios_28_09-2_dip-angle_area1_ -1 -1 2, Franco_florin_buzios_28_09-2_curvedness_area1_ -2 3 -3, Franco_florin_buzios_28_09-2_dip-angle_area1_ -3 0 3, Franco_florin_buzios_28_09-2_rms-3_area1_ 3 2 1, Franco_florin_buzios_28_09-2_most-positive-curvature_area1_ 3 1 3, Franco_florin_buzios_28_09-2_instantaneous-frequency_area1_ 2 2 1, Franco_florin_buzios_28_09-2_contur-curvature_area1_ 0 -2 -2, Franco_florin_buzios_28_09-2_contur-curvature_area1_ 2 -1 2
8;1.2689595737773751;0.9284575492648164; Franco_florin_buzios_28_09-2_envelope_area1_ -3 -2 -3, Franco_florin_buzios_28_09-2_envelope_area1_ 1 -3 2, Franco_florin_buzios_28_09-2_dip-angle_area1_ -1 -1 2, Franco_florin_buzios_28_09-2_curvedness_area1_ -2 3 -3, Franco_florin_buzios_28_09-2_dip-angle_area1_ -3 0 3, Franco_florin_buzios_28_09-2_rms-3_area1_ 3 2 1, Franco_florin_buzios_28_09-2_most-positive-curvature_area1_ 3 1 3, Franco_florin_buzios_28_09-2_azimuth_area1_ -3 1 -2, Franco_florin_buzios_28_09-2_envelope_area1_ -2 0 1, Franco_florin_buzios_28_09-2_min-curvature_area1_ 2 -1 -2
9;1.3682059471547607;1.03201945817403; Franco_florin_buzios_28_09-2_envelope_area1_ -3 -2 -3, Franco_florin_buzios_28_09-2_envelope_area1_ 1 -3 2, Franco_florin_buzios_28_09-2_curvedness_area1_ -2 3 -3, Franco_florin_buzios_28_09-2_dip-angle_area1_ -1 -1 2, Franco_florin_buzios_28_09-2_dip-angle_area1_ -3 0 3, Franco_florin_buzios_28_09-2_rms-3_area1_ 3 2 1, Franco_florin_buzios_28_09-2_most-positive-curvature_area1_ 3 1 3, Franco_florin_buzios_28_09-2_envelope_area1_ -2 0 -2, Franco_florin_buzios_28_09-2_dip-angle_area1_ 0 -3 -2, Franco_florin_buzios_28_09-2_envelope_area1_ -3 1 -3
10;1.4841221504912252;1.1339137534886055; Franco_florin_buzios_28_09-2_envelope_area1_ -3 -2 -3, Franco_florin_buzios_28_09-2_envelope_area1_ 1 -3 2, Franco_florin_buzios_28_09-2_curvedness_area1_ -2 3 -3, Franco_florin_buzios_28_09-2_dip-angle_area1_ -3 0 3, Franco_florin_buzios_28_09-2_rms-5_area1_ 3 2 1, Franco_florin_buzios_28_09-2_dip-angle_area1_ -1 -1 2, Franco_florin_buzios_28_09-2_max-curvature_area1_ 3 1 3, Franco_florin_buzios_28_09-2_rms-9_area1_ 1 2 -2, Franco_florin_buzios_28_09-2_envelope_area1_ -2 0 -2, Franco_florin_buzios_28_09-2_min-curvature_area1_ 1 3 -2
