iteration;RMSE;MAE;features
1;2.0804485444376435;1.749452393733472; Franco_florin_buzios_28_09-2_envelope_area1_ -3 -2 -3, Franco_florin_buzios_28_09-2_envelope_area1_ 1 -3 -1, Franco_florin_buzios_28_09-2_azimuth_area1_ 3 -3 2, Franco_florin_buzios_28_09-2_most-negative-curvature_area1_ -1 -3 -3, Franco_florin_buzios_28_09-2_azimuth_area1_ -3 0 2, Franco_florin_buzios_28_09-2_gaussian-curvature_area1_ 1 -3 0, Franco_florin_buzios_28_09-2_dip-angle_area1_ 3 0 2, Franco_florin_buzios_28_09-2_gaussian-curvature_area1_ -3 -1 2, Franco_florin_buzios_28_09-2_min-curvature_area1_ 0 2 -3, Franco_florin_buzios_28_09-2_dip-angle_area1_ 1 3 0
2;1.8000016021875431;1.454168181538777; Franco_florin_buzios_28_09-2_envelope_area1_ -3 -2 -3, Franco_florin_buzios_28_09-2_envelope_area1_ 1 -3 -1, Franco_florin_buzios_28_09-2_mean-curvature_area1_ 0 2 -1, Franco_florin_buzios_28_09-2_mean-curvature_area1_ 1 -2 0, Franco_florin_buzios_28_09-2_dip-curvature_area1_ 1 0 1, Franco_florin_buzios_28_09-2_instantaneous-frequency_area1_ 1 2 -1, Franco_florin_buzios_28_09-2_instantaneous-frequency_area1_ 3 1 -3, Franco_florin_buzios_28_09-2_most-positive-curvature_area1_ -3 -1 1, Franco_florin_buzios_28_09-2_most-positive-curvature_area1_ 1 -3 -1, Franco_florin_buzios_28_09-2_azimuth_area1_ 2 -3 -2
3;1.5038712838547588;1.1189451522735052; Franco_florin_buzios_28_09-2_envelope_area1_ -3 -1 -3, Franco_florin_buzios_28_09-2_envelope_area1_ 1 -3 -1, Franco_florin_buzios_28_09-2_dip-curvature_area1_ 3 2 -3, Franco_florin_buzios_28_09-2_rms-9_area1_ 1 3 -2, Franco_florin_buzios_28_09-2_rms-3_area1_ 0 1 -2, Franco_florin_buzios_28_09-2_dip-angle_area1_ 3 -2 2, Franco_florin_buzios_28_09-2_rms-9_area1_ 3 3 -2, Franco_florin_buzios_28_09-2_rms-3_area1_ 3 2 0, Franco_florin_buzios_28_09-2_most-negative-curvature_area1_ 1 -3 1, Franco_florin_buzios_28_09-2_envelope_area1_ -1 2 2
4;1.1592009424642717;0.9195861370644981; Franco_florin_buzios_28_09-2_envelope_area1_ -3 -2 -3, Franco_florin_buzios_28_09-2_envelope_area1_ 1 -3 -1, Franco_florin_buzios_28_09-2_azimuth_area1_ 2 2 -1, Franco_florin_buzios_28_09-2_envelope_area1_ 3 -1 3, Franco_florin_buzios_28_09-2_most-negative-curvature_area1_ -1 -3 2, Franco_florin_buzios_28_09-2_azimuth_area1_ -3 -1 -3, Franco_florin_buzios_28_09-2_rms-3_area1_ 2 -3 -3, Franco_florin_buzios_28_09-2_gaussian-curvature_area1_ -2 2 1, Franco_florin_buzios_28_09-2_rms-9_area1_ 0 2 0, Franco_florin_buzios_28_09-2_mean-curvature_area1_ 1 -2 -3
5;1.3295952679649106;0.9812841492216426; Franco_florin_buzios_28_09-2_envelope_area1_ -3 -1 -3, Franco_florin_buzios_28_09-2_envelope_area1_ 1 -3 -1, Franco_florin_buzios_28_09-2_gaussian-curvature_area1_ -2 3 2, Franco_florin_buzios_28_09-2_curvedness_area1_ 0 -3 1, Franco_florin_buzios_28_09-2_gaussian-curvature_area1_ 0 1 0, Franco_florin_buzios_28_09-2_instantaneous-frequency_area1_ 2 1 2, Franco_florin_buzios_28_09-2_contur-curvature_area1_ 0 -2 1
6;1.3327815388042183;1.0370836664555338; Franco_florin_buzios_28_09-2_envelope_area1_ -3 0 -3, Franco_florin_buzios_28_09-2_envelope_area1_ 1 -3 -2, Franco_florin_buzios_28_09-2_rms-7_area1_ -3 -3 -3, Franco_florin_buzios_28_09-2_curvedness_area1_ -2 1 1, Franco_florin_buzios_28_09-2_envelope_area1_ -3 -3 -3, Franco_florin_buzios_28_09-2_envelope_area1_ -3 3 -3, Franco_florin_buzios_28_09-2_rms-3_area1_ -1 1 1, Franco_florin_buzios_28_09-2_rms-3_area1_ 0 3 -3, Franco_florin_buzios_28_09-2_envelope_area1_ 1 -2 -2, Franco_florin_buzios_28_09-2_azimuth_area1_ -1 3 -2
7;1.1900659657148165;0.9174585797792125; Franco_florin_buzios_28_09-2_envelope_area1_ -3 -1 -3, Franco_florin_buzios_28_09-2_envelope_area1_ 1 -3 -1, Franco_florin_buzios_28_09-2_envelope_area1_ 0 -2 -3, Franco_florin_buzios_28_09-2_gaussian-curvature_area1_ 2 0 1, Franco_florin_buzios_28_09-2_min-curvature_area1_ 2 -1 0, Franco_florin_buzios_28_09-2_shape-index_area1_ 1 2 -1, Franco_florin_buzios_28_09-2_most-positive-curvature_area1_ 2 0 0, Franco_florin_buzios_28_09-2_gaussian-curvature_area1_ 3 1 3, Franco_florin_buzios_28_09-2_contur-curvature_area1_ 3 2 -1, Franco_florin_buzios_28_09-2_mean-curvature_area1_ -1 2 3
8;1.3206968522294338;1.0032733851350402; Franco_florin_buzios_28_09-2_envelope_area1_ -3 0 -3, Franco_florin_buzios_28_09-2_envelope_area1_ 1 -3 -1, Franco_florin_buzios_28_09-2_instantaneous-frequency_area1_ 2 -2 -1, Franco_florin_buzios_28_09-2_gaussian-curvature_area1_ -3 -1 2, Franco_florin_buzios_28_09-2_rms-9_area1_ -3 0 3, Franco_florin_buzios_28_09-2_most-negative-curvature_area1_ 3 2 1, Franco_florin_buzios_28_09-2_rms-3_area1_ -2 0 1, Franco_florin_buzios_28_09-2_envelope_area1_ -2 3 -1, Franco_florin_buzios_28_09-2_shape-index_area1_ 1 0 0, Franco_florin_buzios_28_09-2_rms-3_area1_ -2 3 2
9;1.2826950495096643;1.0327010353224675; Franco_florin_buzios_28_09-2_envelope_area1_ -3 -3 -3, Franco_florin_buzios_28_09-2_envelope_area1_ 1 -3 -1, Franco_florin_buzios_28_09-2_gaussian-curvature_area1_ 1 -3 -2, Franco_florin_buzios_28_09-2_azimuth_area1_ -1 3 -2, Franco_florin_buzios_28_09-2_azimuth_area1_ -3 -2 3, Franco_florin_buzios_28_09-2_mean-curvature_area1_ -3 3 -2, Franco_florin_buzios_28_09-2_rms-5_area1_ 3 -2 0, Franco_florin_buzios_28_09-2_min-curvature_area1_ 1 1 1, Franco_florin_buzios_28_09-2_mean-curvature_area1_ -1 -1 -3, Franco_florin_buzios_28_09-2_min-curvature_area1_ 1 -2 2
10;1.1540409157844058;0.8946825195857955; Franco_florin_buzios_28_09-2_envelope_area1_ -3 0 -3, Franco_florin_buzios_28_09-2_envelope_area1_ 1 -3 -1, Franco_florin_buzios_28_09-2_instantaneous-frequency_area1_ -1 -2 0, Franco_florin_buzios_28_09-2_mean-curvature_area1_ 0 -3 -2, Franco_florin_buzios_28_09-2_rms-9_area1_ 2 3 3, Franco_florin_buzios_28_09-2_curvedness_area1_ 0 -3 -1, Franco_florin_buzios_28_09-2_instantaneous-frequency_area1_ 3 2 3, Franco_florin_buzios_28_09-2_gaussian-curvature_area1_ 0 1 -2
11;1.2108018774320046;0.9005147272551032; Franco_florin_buzios_28_09-2_rms-9_area1_ 0 -2 0, Franco_florin_buzios_28_09-2_envelope_area1_ -3 -2 -2, Franco_florin_buzios_28_09-2_envelope_area1_ 1 -3 -1, Franco_florin_buzios_28_09-2_envelope_area1_ 1 -1 3, Franco_florin_buzios_28_09-2_rms-5_area1_ 0 -1 -2, Franco_florin_buzios_28_09-2_instantaneous-frequency_area1_ -2 0 -3, Franco_florin_buzios_28_09-2_envelope_area1_ -2 -1 3, Franco_florin_buzios_28_09-2_most-positive-curvature_area1_ -1 -1 1, Franco_florin_buzios_28_09-2_instantaneous-frequency_area1_ 2 -2 3, Franco_florin_buzios_28_09-2_rms-7_area1_ 0 1 -3
