iteration;RMSE;MAE;features
1;3.5092546354012324;2.7546874050218406; Franco_florin_buzios_28_09-2_envelope_area1_ -1 0 -1, Franco_florin_buzios_28_09-2_envelope_area1_ -1 1 0, Franco_florin_buzios_28_09-2_contur-curvature_area1_ 1 -1 0
2;2.527050156982432;1.9165907357943428; Franco_florin_buzios_28_09-2_envelope_area1_ -1 0 -1, Franco_florin_buzios_28_09-2_shape-index_area1_ 1 0 -1, Franco_florin_buzios_28_09-2_most-positive-curvature_area1_ -1 -1 -1
3;1.6149984222658387;1.202694723220322; Franco_florin_buzios_28_09-2_envelope_area1_ -1 0 -1, Franco_florin_buzios_28_09-2_most-negative-curvature_area1_ 1 -1 0, Franco_florin_buzios_28_09-2_mean-curvature_area1_ 1 0 1
4;1.7106200467821822;1.195441158498471; Franco_florin_buzios_28_09-2_envelope_area1_ -1 0 -1, Franco_florin_buzios_28_09-2_contur-curvature_area1_ 1 0 1, Franco_florin_buzios_28_09-2_curvedness_area1_ 1 -1 0
5;1.0596440941736984;0.7331567538068143; Franco_florin_buzios_28_09-2_envelope_area1_ -1 0 -1, Franco_florin_buzios_28_09-2_rms-9_area1_ -1 -1 -1, Franco_florin_buzios_28_09-2_shape-index_area1_ 0 0 -1
6;0.822645666862903;0.5762045393118311; Franco_florin_buzios_28_09-2_envelope_area1_ -1 0 -1, Franco_florin_buzios_28_09-2_dip-curvature_area1_ 0 0 -1, Franco_florin_buzios_28_09-2_most-negative-curvature_area1_ -1 -1 -1
7;1.0066221430854863;0.7044137036849973; Franco_florin_buzios_28_09-2_envelope_area1_ -1 0 -1, Franco_florin_buzios_28_09-2_envelope_area1_ 0 1 -1, Franco_florin_buzios_28_09-2_azimuth_area1_ 1 -1 0
8;1.0957560159100912;0.8052690223054206; Franco_florin_buzios_28_09-2_envelope_area1_ -1 0 -1, Franco_florin_buzios_28_09-2_most-negative-curvature_area1_ 0 -1 -1, Franco_florin_buzios_28_09-2_envelope_area1_ -1 1 0
9;0.8689127942013799;0.6449737207859199; Franco_florin_buzios_28_09-2_envelope_area1_ -1 0 -1, Franco_florin_buzios_28_09-2_rms-9_area1_ 0 -1 1, Franco_florin_buzios_28_09-2_max-curvature_area1_ 1 1 1
10;0.8835178898539198;0.6736936948480725; Franco_florin_buzios_28_09-2_envelope_area1_ -1 0 -1, Franco_florin_buzios_28_09-2_min-curvature_area1_ -1 1 -1, Franco_florin_buzios_28_09-2_min-curvature_area1_ 0 0 0
