,id,Well,x_coord,y_coord,min_y,max_y,type,min_y_adjusted,max_y_adjusted
0,0,2-ANP-1-RJS,677,1722,5400,5880,bottom,1080,1176
1,1,3-BRSA-1064-RJS,652,1114,5000,5930,bottom,1000,1186
2,2,3-BRSA-1184-RJS,855,1230,5400,5900,bottom,1080,1180
3,3,3-BRSA-1195-RJS,1041,2322,5450,5900,bottom,1090,1180
4,4,7-BUZ-10-RJS,415,392,5300,5780,bottom,1060,1156
5,5,7-BUZ-12-RJS,834,1297,2118,5873,complete,423,1174
6,6,7-BUZ-13DA-RJS,685,1348,2086,3406,top,417,681
7,7,7-BUZ-14-RJS,642,1490,2134,3331,top,426,666
8,8,7-BUZ-14DA-RJS,640,1491,2129,5847,complete,425,1169
9,9,7-BUZ-17-RJS,699,1467,4800,5770,bottom,960,1154
10,10,7-BUZ-23-RJS,481,472,2137,5870,complete,427,1174
11,11,7-BUZ-25-RJS,481,472,1991,5837,complete,398,1167
12,12,7-BUZ-29D-RJS,425,372,2164,5929,complete,432,1185
13,13,7-BUZ-30-RJS,833,1384,5300,5900,bottom,1060,1180
14,14,7-BUZ-31D-RJS,648,1341,2170,5867,complete,434,1173
15,15,7-BUZ-6-RJS,612,1531,5460,5910,bottom,1092,1182
16,16,8-BUZ-15-RJS,768,1541,2044,5907,complete,408,1181
17,17,8-BUZ-20-RJS,518,425,2141,6079,complete,428,1215
18,18,8-BUZ-21D-RJS,898,1246,2099,5978,complete,419,1195
19,19,8-BUZ-22D-RJS,492,1656,3000,6000,complete,600,1200
20,20,8-BUZ-26-RJS,452,260,2169,6203,complete,433,1240
21,21,8-BUZ-27D-RJS,717,1329,2089,5999,complete,417,1199
22,22,8-BUZ-28D-RJS,420,51,2197,3525,top,439,705
23,23,8-BUZ-28DA-RJS,420,55,2150,6212,complete,430,1242
24,24,8-BUZ-32D-RJS,901,1332,2079,3368,top,415,673
25,25,8-BUZ-32DA-RJS,901,1332,2858,6056,complete,571,1211
26,26,8-BUZ-5-RJS,690,1826,3500,5900,complete,700,1180
27,27,8-BUZ-9-RJS,667,1015,5500,5600,bottom,1100,1120
28,28,9-BRSA-1159-RJS,758,1474,4790,5900,bottom,958,1180
29,29,9-BRSA-1191-RJS,665,1427,5280,5800,bottom,1056,1160
30,30,9-BRSA-1197-RJS,555,680,5300,5750,bottom,1060,1150
31,31,9-BUZ-1-RJS,569,957,5410,5910,bottom,1082,1182
32,32,9-BUZ-2-RJS,477,329,5570,6300,bottom,1114,1260
33,33,9-BUZ-3-RJS,367,214,0,6200,complete,0,1240
34,34,9-BUZ-4-RJS,831,1593,5200,5850,bottom,1040,1170
35,35,9-BUZ-7-RJS,570,1816,5400,6200,bottom,1080,1240
36,36,9-BUZ-8-RJS,475,1188,5504,5825,bottom,1100,1165
