,Well,x,y
0,2-ANP-1-RJS,677,1722
1,3-BRSA-1064-RJS,652,1114
2,3-BRSA-1184-RJS,855,1230
3,3-BRSA-1195-RJS,1041,2322
4,7-BUZ-10-RJS,415,392
5,7-BUZ-12-RJS,834,1297
6,7-BUZ-13DA-RJS,685,1348
7,7-BUZ-14-RJS,642,1490
8,7-BUZ-14DA-RJS,640,1491
9,7-BUZ-17-RJS,699,1467
10,7-BUZ-23-RJS,481,472
11,7-BUZ-25-RJS,481,472
12,7-BUZ-29D-RJS,425,372
13,7-BUZ-30-RJS,833,1384
14,7-BUZ-31D-RJS,648,1341
15,7-BUZ-6-RJS,612,1531
16,8-BUZ-15-RJS,768,1541
17,8-BUZ-20-RJS,518,425
18,8-BUZ-21D-RJS,898,1246
19,8-BUZ-22D-RJS,492,1656
20,8-BUZ-26-RJS,452,260
21,8-BUZ-27D-RJS,717,1329
22,8-BUZ-28D-RJS,420,51
23,8-BUZ-28DA-RJS,420,55
24,8-BUZ-32D-RJS,901,1332
25,8-BUZ-32DA-RJS,901,1332
26,8-BUZ-5-RJS,690,1826
27,8-BUZ-9-RJS,667,1015
28,9-BRSA-1159-RJS,758,1474
29,9-BRSA-1191-RJS,665,1427
30,9-BRSA-1197-RJS,555,680
31,9-BUZ-1-RJS,569,957
32,9-BUZ-2-RJS,477,329
33,9-BUZ-3-RJS,367,214
34,9-BUZ-4-RJS,831,1593
35,9-BUZ-7-RJS,570,1816
36,9-BUZ-8-RJS,475,1188
