id,Well,x_coord,y_coord,min_y,max_y,type
0,2-ANP-1-RJS,677,1722,5400.0,5880.0,bottom
1,3-BRSA-1064-RJS,652,1114,5000.0,5930.0,bottom
2,3-BRSA-1184-RJS,855,1230,5400.0,5900.0,bottom
3,3-BRSA-1195-RJS,1041,2322,5450.0,5900.0,bottom
4,7-BUZ-10-RJS,415,392,5300.0,5780.0,bottom
5,7-BUZ-12-RJS,834,1297,2118.0601,5873.8057,complete
6,7-BUZ-13DA-RJS,685,1348,2086.0513,3406.1401,top
7,7-BUZ-14-RJS,642,1490,2134.0601,3331.9241,top
8,7-BUZ-14DA-RJS,640,1491,2129.9446,5847.7426,complete
9,7-BUZ-17-RJS,699,1467,4800.0,5770.0,bottom
10,7-BUZ-23-RJS,481,472,2137.26,5870.7553,complete
11,7-BUZ-25-RJS,481,472,1991.11,5837.0764,complete
12,7-BUZ-29D-RJS,425,372,2164.0134,5929.6651,complete
13,7-BUZ-30-RJS,833,1384,5300.0,5900.0,bottom
14,7-BUZ-31D-RJS,648,1341,2170.0234,5867.0951,complete
15,7-BUZ-6-RJS,612,1531,5460.0,5910.0,bottom
16,8-BUZ-15-RJS,768,1541,2044.1411,5907.4812,complete
17,8-BUZ-20-RJS,518,425,2141.22,6079.5408,complete
18,8-BUZ-21D-RJS,898,1246,2099.552,5978.132,complete
19,8-BUZ-22D-RJS,492,1656,3000.0,6000.0,complete
20,8-BUZ-26-RJS,452,260,2169.0613,6203.0893,complete
21,8-BUZ-27D-RJS,717,1329,2089.95,5999.772,complete
22,8-BUZ-28D-RJS,420,51,2197.0,3525.928,top
23,8-BUZ-28DA-RJS,420,55,2150.4023,6212.3196,complete
24,8-BUZ-32D-RJS,901,1332,2079.96,3368.6544,top
25,8-BUZ-32DA-RJS,901,1332,2858.0803,6056.6516,complete
26,8-BUZ-5-RJS,690,1826,3500.0,5900.0,complete
27,8-BUZ-9-RJS,667,1015,5500.0,5600.0,bottom
28,9-BRSA-1159-RJS,758,1474,4790.0,5900.0,bottom
29,9-BRSA-1191-RJS,665,1427,5280.0,5800.0,bottom
30,9-BRSA-1197-RJS,555,680,5300.0,5750.0,bottom
31,9-BUZ-1-RJS,569,957,5410.0,5910.0,bottom
32,9-BUZ-2-RJS,477,329,5570.0,6300.0,bottom
33,9-BUZ-3-RJS,367,214,0.0,6200.0,complete
34,9-BUZ-4-RJS,831,1593,5200.0,5850.0,bottom
35,9-BUZ-7-RJS,570,1816,5400.0,6200.0,bottom
36,9-BUZ-8-RJS,475,1188,5504.0,5825.0,bottom
