feature1;feature2;feature3;feature4;feature5;feature6;feature7;feature8;feature9;feature10
'MID', 3, 1, -3;'MID', 3, 3, 2;'FAR', -1, -1, -2;'FAR', -2, -3, -1;'FAR', 2, -2, 0;'FAR', -2, 3, -3;'MID', 3, 1, -1;'MID', 3, -3, 1;'NEAR_dip-angle_', -2, 1, 3;'FAR', -1, -3, 0
'FAR', -2, 3, 1;'FAR', 0, 0, -2;'FAR', -3, 1, 2;'NEAR_dip-curvature_', 3, 0, -3;'NEAR_dip-angle_', -3, -3, 3;'MID', -3, 2, 1;'NEAR_curvedness_', 2, 2, 3;'NEAR_curvedness_', 1, 2, 3;'NEAR_curvedness_', 2, -1, -1;'NEAR_curvedness_', -3, 0, 3
'MID', 0, 3, 3;'MID', 2, -1, -3;'MID', -2, 1, 2;'NEAR_envelope_', -1, -3, -2;'NEAR_curvedness_', 3, 1, -2;'NEAR_envelope_', 3, 2, 2;'NEAR_dip-curvature_', -1, 3, 0;'NEAR_contour-curvature_', -2, 3, 0;'NEAR_dip-curvature_', 1, 0, -2;'NEAR_gaussian-curvature_', 1, 2, -3
'MID', 0, 1, 3;'FAR', 0, 0, -2;'NEAR_dip-angle_', 3, -3, -3;'NEAR_contour-curvature_', -3, -3, -3;'FAR', -3, -2, 1;'NEAR_contour-curvature_', -3, 0, 3;'NEAR_curvedness_', 2, 3, 3;'NEAR_azimuth_', 3, 0, -2;dummy;dummy
'MID', -1, 2, 3;'MID', 1, 0, -3;'NEAR_dip-angle_', 3, 1, 2;'NEAR_contour-curvature_', -1, -3, -2;'NEAR_curvedness_', 1, 2, 3;'NEAR_contour-curvature_', -3, -3, -3;'NEAR_gaussian-curvature_', -3, -2, 3;'NEAR_azimuth_', 2, 3, 3;'NEAR_curvedness_', 1, -3, -2;'NEAR_azimuth_', -3, 3, 2
'MID', -1, 2, 3;'MID', 2, -1, -3;'NEAR_envelope_', -3, -1, -1;'NEAR_gaussian-curvature_', 0, 1, -3;'NEAR_envelope_', -2, -3, -3;'NEAR_contour-curvature_', -1, 0, 1;'NEAR_curvedness_', 3, -1, -3;'NEAR_azimuth_', 3, 1, -1;'NEAR_azimuth_', -1, 3, 2;dummy
'MID', -1, 3, 3;'MID', 2, -1, -3;'FAR', -3, -3, 0;'FAR', 3, -2, -1;'NEAR_envelope_', 2, 3, 1;'FAR', -2, 2, -3;'NEAR_dip-curvature_', -1, -3, -3;'NEAR_azimuth_', -2, 0, -3;dummy;dummy
'MID', 0, 3, 3;'MID', 2, 0, -3;'MID', -1, 2, 3;'FAR', -3, -1, 1;'FAR', -3, -1, 2;'NEAR_contour-curvature_', -3, -1, -1;'NEAR_azimuth_', 2, -1, -2;'NEAR_dip-curvature_', 2, -1, -2;'NEAR_azimuth_', -2, 0, 0;dummy
'MID', 2, 0, -3;'MID', -2, 2, 2;'FAR', -2, -1, 1;'MID', 3, 3, 2;'NEAR_gaussian-curvature_', 2, 1, -3;'NEAR_azimuth_', 1, -2, -3;'NEAR_curvedness_', -1, -3, 0;'NEAR_gaussian-curvature_', 3, -1, -2;'NEAR_gaussian-curvature_', -2, 2, 2;'NEAR_gaussian-curvature_', -2, -3, 0
'MID', 1, -1, -3;'MID', -1, 1, 3;'FAR', -1, 3, 1;'NEAR_curvedness_', -2, 1, 2;'MID', -2, -3, -3;'NEAR_envelope_', -3, -3, -1;'NEAR_dip-curvature_', -3, -1, 2;'NEAR_azimuth_', 3, -2, 3;'NEAR_contour-curvature_', -3, 1, 0;'NEAR_gaussian-curvature_', -3, 3, -1
'MID', 1, -1, -3;'FAR', -2, 2, 2;'MID', -1, 2, 3;'FAR', -3, -2, 0;'NEAR_envelope_', 2, 3, -1;'NEAR_gaussian-curvature_', 2, 1, 2;'NEAR_gaussian-curvature_', -3, -3, -2;'NEAR_gaussian-curvature_', -2, 2, -3;'NEAR_dip-curvature_', -3, -3, -1;dummy
'MID', 1, -1, -3;'MID', -1, 2, 3;'FAR', -2, 3, 2;'MID', -3, -2, -1;'NEAR_envelope_', 2, 3, 2;'NEAR_envelope_', 0, -3, -3;'MID', 3, -3, 0;'NEAR_contour-curvature_', -3, -1, -3;'NEAR_azimuth_', -3, 2, 2;'NEAR_azimuth_', -3, 3, 2
'MID', 1, -1, -3;'MID', -1, 2, 3;'FAR', -3, 0, 0;'NEAR_envelope_', 3, 2, 0;'FAR', 0, 3, 3;'FAR', -2, -1, 1;'NEAR_azimuth_', -2, -2, 2;'NEAR_contour-curvature_', -3, -2, -2;'NEAR_curvedness_', 1, -3, -2;dummy
'MID', 1, 0, -3;'MID', -1, 3, 3;'FAR', -3, -1, 1;'NEAR_envelope_', 3, 3, -1;'MID', -1, 3, 1;'NEAR_azimuth_', -2, 0, -2;'FAR', 2, 3, 1;'NEAR_azimuth_', 2, 1, -1;'NEAR_gaussian-curvature_', -1, -3, -3;dummy
'MID', 1, -1, -3;'MID', -1, 2, 3;'FAR', -3, 0, 1;'NEAR_envelope_', 3, 3, 1;'NEAR_envelope_', -3, -2, 2;'FAR', -2, -1, -2;'NEAR_curvedness_', 3, -3, -2;'NEAR_dip-curvature_', 2, 3, 2;dummy;dummy
'MID', 1, -1, -3;'MID', -1, 2, 3;'FAR', -1, 3, 1;'MID', -3, -2, -1;'NEAR_envelope_', -3, -3, -3;'NEAR_dip-curvature_', -3, 2, 2;'NEAR_contour-curvature_', -1, 1, 0;'NEAR_dip-curvature_', -2, -1, 2;'NEAR_gaussian-curvature_', 3, 2, 1;dummy
'MID', 1, -1, -3;'MID', -2, 1, 2;'NEAR_envelope_', -3, -3, 3;'MID', 2, 0, -3;'MID', 3, 1, 3;'NEAR_envelope_', -2, -3, -1;'NEAR_azimuth_', 2, 1, 1;'NEAR_dip-curvature_', 0, -3, 2;'NEAR_gaussian-curvature_', -1, 1, 0;'NEAR_gaussian-curvature_', -1, -3, 3
'MID', 1, -1, -3;'MID', -1, 2, 3;'FAR', -1, 3, 1;'FAR', -3, -2, 0;'NEAR_gaussian-curvature_', -2, -1, 0;'MID', -3, -2, -2;'NEAR_envelope_', -3, -2, 1;'NEAR_gaussian-curvature_', -3, -1, -1;'NEAR_azimuth_', -1, 1, 2;dummy
'MID', 1, -1, -3;'MID', -1, 2, 3;'FAR', -1, 3, 1;'MID', -3, -2, -2;'MID', 2, -3, 1;'NEAR_azimuth_', -3, 0, 2;'NEAR_gaussian-curvature_', 1, -3, -2;'NEAR_gaussian-curvature_', -2, 3, 0;'NEAR_azimuth_', 3, -3, 1;'NEAR_azimuth_', -1, 2, 3
'MID', 1, -1, -3;'MID', -1, 2, 3;'FAR', -1, 3, 1;'MID', -3, -1, -3;'NEAR_azimuth_', -3, -3, 0;'FAR', -3, -3, 1;'MID', -3, -3, -2;'NEAR_envelope_', 0, -1, -2;'NEAR_dip-curvature_', -1, 0, 2;'NEAR_azimuth_', 3, 2, -1
'MID', 1, -1, -3;'MID', -1, 1, 3;'NEAR_envelope_', 2, 3, 3;'FAR', -3, -2, 0;'MID', -1, 3, 3;'NEAR_dip-angle_', -3, 1, 2;'NEAR_envelope_', -2, -2, -1;'NEAR_dip-angle_', -2, 0, 1;'NEAR_gaussian-curvature_', -3, 0, -2;'NEAR_gaussian-curvature_', -3, 0, -3
'MID', 1, -1, -3;'MID', -1, 2, 3;'FAR', -1, 3, 1;'NEAR_envelope_', -2, -3, -3;'FAR', -2, 2, 1;'NEAR_gaussian-curvature_', 0, -3, -2;dummy;dummy;dummy;dummy
'MID', 1, -1, -3;'MID', -1, 2, 3;'FAR', -2, 2, 1;'FAR', 1, 2, 0;'NEAR_curvedness_', -1, -1, -3;'FAR', 3, 0, -2;'NEAR_azimuth_', -3, 1, -3;'NEAR_gaussian-curvature_', -1, -1, -2;'NEAR_dip-curvature_', 3, 3, 3;dummy
'MID', 2, 0, -3;'MID', -2, 2, 2;'MID', 1, 3, 2;'NEAR_contour-curvature_', -3, 3, 0;'NEAR_curvedness_', 2, 3, 2;'NEAR_dip-curvature_', -3, 1, 1;'NEAR_gaussian-curvature_', 3, -1, -1;'NEAR_azimuth_', -1, 2, -1;'NEAR_azimuth_', -2, 2, 0;dummy
'MID', 1, 0, -3;'MID', -1, 2, 3;'FAR', -3, 0, 0;'NEAR_envelope_', 2, 3, 2;'FAR', -3, 2, 1;'FAR', 0, 3, 2;'NEAR_gaussian-curvature_', 1, -1, -1;'NEAR_azimuth_', 3, -2, 1;'NEAR_gaussian-curvature_', 2, 0, -3;dummy
